show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s15,Movie,3022,John Suits,"Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman",United States,19-Mar-20,2019,R,91 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers","Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds."
s16,Movie,Oct-01,Kunle Afolayan,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin",Nigeria,01-Sep-19,2014,TV-14,149 min,"Dramas, International Movies, Thrillers","Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women."
s17,TV Show,Feb-09,,"Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari, Salma Salem, Ibrahim Al-Harbi, Mahmoud Boushahri, Yousef Al Balushi, Ghorour, Abdullah Al-bloshi",,20-Mar-19,2018,TV-14,1 Season,"International TV Shows, TV Dramas","As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy."
s18,Movie,22-Jul,Paul Greengrass,"Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith","Norway, Iceland, United States",10-Oct-18,2018,R,144 min,"Dramas, Thrillers","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story."
s19,Movie,15-Aug,Swapnaneel Jayakar,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",India,29-Mar-19,2019,TV-14,124 min,"Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy."
s20,Movie,'89,,"Lee Dixon, Ian Wright, Paul Merson",United Kingdom,16-May-18,2017,TV-PG,87 min,Sports Movies,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game."
s21,Movie,​​Kuch Bheege Alfaaz,Onir,"Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan",India,01-Sep-18,2018,TV-14,110 min,"Dramas, Independent Movies, International Movies","After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond."
s22,Movie,​Goli Soda 2,Vijay Milton,"Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha",India,15-Sep-18,2018,TV-14,128 min,"Action & Adventure, Dramas, International Movies","A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers."
s23,Movie,​Maj Rati ​​Keteki,Santwana Bardoloi,"Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar",India,15-Sep-18,2017,TV-14,117 min,"Dramas, International Movies","A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks."
s24,Movie,​Mayurakshi,Atanu Ghosh,"Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury",India,15-Sep-18,2017,TV-14,100 min,"Dramas, International Movies","When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them."
s25,TV Show,​SAINT SEIYA: Knights of the Zodiac,,"Bryson Baugus, Emily Neves, Blake Shepard, Patrick Poole, Luci Christian, Adam Gibbs, Masakazu Morita, Fumiko Orikasa, Takahiro Sakurai, Hiroaki Miura, Satomi Sato, Katsuyuki Konishi",Japan,23-Jan-20,2020,TV-14,2 Seasons,"Anime Series, International TV Shows","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all."
s26,Movie,(T)ERROR,"Lyric R. Cabral, David Felix Sutcliffe",,United States,30-Jun-16,2015,NR,84 min,Documentaries,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.
s27,TV Show,(Un)Well,,,United States,12-Aug-20,2020,TV-MA,1 Season,Reality TV,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?"
s28,Movie,#Alive,Cho Il,"Yoo Ah-in, Park Shin-hye",South Korea,08-Sep-20,2020,TV-MA,99 min,"Horror Movies, International Movies, Thrillers","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out."
s29,Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto","Helen Mirren, Gengher Gatti",Italy,01-Jul-20,2019,TV-14,95 min,"Documentaries, International Movies","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren."
s30,TV Show,#blackAF,,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers",United States,17-Apr-20,2020,TV-MA,1 Season,TV Comedies,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series."
s31,Movie,#cats_the_mewvie,Michael Margolis,,Canada,05-Feb-20,2020,TV-14,90 min,"Documentaries, International Movies","This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers."
s32,Movie,#FriendButMarried,Rako Prijanto,"Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila",Indonesia,21-May-20,2018,TV-G,102 min,"Dramas, International Movies, Romantic Movies","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married."
s33,Movie,#FriendButMarried 2,Rako Prijanto,"Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata",Indonesia,28-Jun-20,2020,TV-G,104 min,"Dramas, International Movies, Romantic Movies","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage."
s34,Movie,#realityhigh,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,08-Sep-17,2017,TV-14,99 min,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
s35,Movie,#Roxy,Michael Kennedy,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke",Canada,10-Apr-19,2018,TV-14,105 min,"Comedies, Romantic Movies",A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.
s36,Movie,#Rucker50,Robert McCullough Jr.,,United States,01-Dec-16,2016,TV-PG,56 min,"Documentaries, Sports Movies",This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.
s37,Movie,#Selfie,Cristina Jacob,"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu",Romania,01-Jun-19,2014,TV-MA,125 min,"Comedies, Dramas, International Movies","Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang."
s38,Movie,#Selfie 69,Cristina Jacob,"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut",Romania,01-Jun-19,2016,TV-MA,119 min,"Comedies, Dramas, International Movies","After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days."
s39,TV Show,แผนร้ายนายเจ้าเล่ห์,,"Chutavuth Pattarakampol, Sheranut Yusananda, Nichaphat Chatchaipholrat, Thassapak Hsu",,30-Mar-19,2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","When two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore."
s40,Movie,"¡Ay, mi madre!",Frank Ariza,"Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán",Spain,19-Jul-19,2019,TV-MA,81 min,"Comedies, International Movies","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance."
s41,Movie,Çarsi Pazar,Muharrem Gülmez,"Erdem Yener, Ayhan Taş, Emin Olcay, Muharrem Gülmez, Elif Nur Kerkük, Tarık Papuççuoğlu, Suzan Aksoy, Doğa Konakoğlu, Esin Eden, Deniz Özerman",Turkey,10-Mar-17,2015,TV-14,97 min,"Comedies, International Movies",The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.
s42,Movie,Ég man þig,Óskar Thór Axelsson,"Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson",Iceland,27-Mar-18,2017,TV-MA,106 min,"Horror Movies, International Movies","Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret."
s43,Movie,Çok Filim Hareketler Bunlar,Ozan Açıktan,"Ayça Erturan, Aydan Taş, Ayşegül Akdemir, Burcu Gönder, Bülent Emrah Parlak, Büşra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem Tuğral, Gülhan Tekin, Gülsüm Alkan, Hamdi Kahraman, İbrahim Büyükak, Metin Keçeci",Turkey,10-Mar-17,2010,TV-MA,99 min,"Comedies, International Movies","Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off."
s44,Movie,Òlòtūré,Kenneth Gyang,"Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua",Nigeria,02-Oct-20,2020,TV-MA,107 min,"Dramas, International Movies","In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence."
s45,Movie,Æon Flux,Karyn Kusama,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen",United States,01-Feb-18,2005,PG-13,93 min,"Action & Adventure, Sci-Fi & Fantasy","Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader."
s46,TV Show,Şubat,,"Alican Yücesoy, Melisa Sözen, Musa Uzunlar, Serkan Ercan, Özkan Uğur, Ülkü Duru, Tansu Biçer, Nadir Sarıbacak, Sermet Yeşil, Ayhan Kavas",Turkey,17-Jan-17,2013,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past."
s47,Movie,1 Chance 2 Dance,Adam Deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride",United States,01-Jul-17,2014,TV-PG,89 min,"Dramas, Romantic Movies","When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream."
s48,Movie,1 Mile to You,Leif Tilden,"Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote",United States,07-Jul-17,2017,TV-14,105 min,"Dramas, Romantic Movies, Sports Movies","After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach."
s49,Movie,10 Days in Sun City,Adze Ugah,"Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.","South Africa, Nigeria",18-Oct-19,2017,TV-14,87 min,"Comedies, International Movies, Romantic Movies","After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa."
s50,Movie,10 jours en or,Nicolas Brossette,"Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie",France,01-Jul-17,2012,TV-14,97 min,"Comedies, Dramas, International Movies","When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives."
s51,Movie,"10,000 B.C.",Roland Emmerich,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif","United States, South Africa",01-Jun-19,2008,PG-13,109 min,Action & Adventure,Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.
s52,TV Show,100 Days My Prince,,"Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee",South Korea,07-Dec-20,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette."
s53,Movie,100 Days Of Solitude,,,Spain,06-Jul-18,2018,TV-MA,93 min,"Documentaries, International Movies","Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings."
s54,TV Show,100 Humans,,"Zainab Johnson, Sammy Obeid, Alie Ward",United States,13-Mar-20,2020,TV-14,1 Season,"Docuseries, Science & Nature TV","One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human."
s55,Movie,100 Meters,Marcel Barrena,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer","Portugal, Spain",10-Mar-17,2016,TV-MA,109 min,"Dramas, International Movies, Sports Movies","A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help."
s56,Movie,100 Things to do Before High School,,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena, Brady Reiter, Lisa Arch, Stephanie Escajeda",United States,02-Nov-19,2014,TV-Y,44 min,Movies,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years."
s57,Movie,100 Years: One Woman's Fight for Justice,Melinda Janko,,United States,20-Mar-18,2016,TV-14,75 min,Documentaries,This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.
s58,Movie,100% Halal,Jastis Arimba,"Anisa Rahma, Ariyo Wahab, Anandito Dwis, Fitria Rasyidi, Arafah Rianti, Kinaryosih",Indonesia,07-Jan-21,2020,TV-14,101 min,"Dramas, International Movies","After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid."
s59,TV Show,100% Hotter,,"Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward",United Kingdom,01-Nov-19,2017,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV","A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders."
s60,Movie,1000 Rupee Note,Shrihari Sathe,"Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav, Pooja Nayak, Devendra Gaikwad",India,01-Dec-16,2014,TV-14,89 min,"Dramas, International Movies","After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly."
s61,Movie,12 ROUND GUN,Sam Upton,"Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone",United States,14-Mar-19,2017,TV-MA,90 min,"Dramas, Independent Movies, Sports Movies","Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch."
s62,TV Show,12 Years Promise,,"So-yeon Lee, Namkoong Min, Tae-im Lee, So-hui Yoon, Won-keun Lee, Hyo-young Ryu",South Korea,22-May-17,2014,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea."
s63,Movie,13 Cameras,Victor Zarcoff,"PJ McCabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault",United States,13-Aug-16,2015,NR,90 min,"Horror Movies, Independent Movies, Thrillers","Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras."
s64,TV Show,13 Reasons Why,,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian d'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves",United States,05-Jun-20,2020,TV-MA,4 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries","After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice."
s65,TV Show,13 Reasons Why: Beyond the Reasons,,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Alisha Boe, Justin Prentice, Brandon Flynn, Miles Heizer, Christian Navarro, Brian Yorkey, Tom McCarthy, Selena Gomez, Mandy Teefey, Jay Asher, Dr. Rona Hu, Dr. Helen Hsu, Dr. Rebecca Hedrick, Alexis Jones, Elaine Welteroth, Julia Bicknell, Dr. Christine Moutier, Nic Sheff, Carrie Goldberg, Anne Winters, Joy Gorman, Brandon Butler, Marissa Jo Cerar, Susanne Timms",United States,23-Aug-19,2019,TV-MA,3 Seasons,"Crime TV Shows, Docuseries","Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why."""
s66,Movie,13 Sins,Daniel Stamm,"Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince",United States,13-Jan-19,2014,R,93 min,"Horror Movies, Thrillers","A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake."
s67,Movie,13TH,Ava DuVernay,,United States,07-Oct-16,2016,TV-MA,101 min,Documentaries,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom."
s68,Movie,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,,"Oprah Winfrey, Ava DuVernay",,26-Jan-17,2017,,37 min,Movies,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system."
s69,Movie,14 Blades,Daniel Lee,"Donnie Yen, Zhao Wei, Wu Chun, Law Kar-Ying, Kate Tsui, Yuwu Qi, Wu Ma, Chen Kuan Tai, Sammo Kam-Bo Hung, Chen Zhi Hui, Damian Lau, Xiang Dong Xu","Hong Kong, China, Singapore",03-Apr-19,2010,R,113 min,"Action & Adventure, International Movies","In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed."
s70,Movie,14 Cameras,"Scott Hussion, Seth Fuller","Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief",United States,27-Oct-18,2018,TV-MA,89 min,"Horror Movies, Thrillers","Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy."
s71,Movie,14 Minutes from Earth,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",,United States,01-Feb-19,2016,TV-MA,84 min,Documentaries,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.
s72,Movie,16 Blocks,Richard Donner,"Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz","United States, Germany",01-Nov-19,2006,PG-13,102 min,Action & Adventure,"Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive."
s73,Movie,17 Again,Burr Steers,"Zac Efron, Leslie Mann, Matthew Perry, Thomas Lennon, Michelle Trachtenberg, Melora Hardin, Sterling Knight, Hunter Parrish, Nicole Sullivan, Allison Miller",United States,01-Jan-21,2009,PG-13,102 min,Comedies,"Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again."
s74,Movie,18 Presents,Francesco Amato,"Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betty Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli",Italy,08-May-20,2020,TV-MA,114 min,"Dramas, Independent Movies, International Movies",A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.
s75,Movie,1898: Our Last Men in the Philippines,Salvador Calvo,"Luis Tosar, Javier Gutiérrez, Álvaro Cervantes, Karra Elejalde, Carlos Hipólito, Ricardo Gómez, Patrick Criado, Eduard Fernández, Miguel Herrán, Emilio Palacios",Spain,02-Jun-17,2016,R,130 min,"Dramas, International Movies","While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents."
s76,Movie,1BR,David Marmor,"Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld, Celeste Sully, Susan Davis, Clayton Hoff, Earnestine Phillips",United States,23-Aug-20,2019,TV-MA,90 min,"Horror Movies, Independent Movies, Thrillers","Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community."
